T_MeV,muB_MeV,xi,mode,plot_panel,plot_series
240.18350129636818,0.0,0.21,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,0.22,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,0.23,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,0.24,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,0.25,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,0.26,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,0.27,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,0.28,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,0.29,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,0.3,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,0.31,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
