T_MeV,muB_MeV,xi,mode,phase_reference_kind,scan_group,group_label,plot_panel,plot_panel_label,plot_series,plot_series_label,T_phase_base_MeV,alpha_T
160.0,900.0,0.2,mode_b_fixed_T_sparse_muB,crossover,T160.0_muB900.0,"T=160.0 MeV, muB=900.0 MeV",T160.0,"T=160.0 MeV",muB900.0,"muB=900.0 MeV",160.0,NaN
160.0,900.0,0.25,mode_b_fixed_T_sparse_muB,crossover,T160.0_muB900.0,"T=160.0 MeV, muB=900.0 MeV",T160.0,"T=160.0 MeV",muB900.0,"muB=900.0 MeV",160.0,NaN
160.0,900.0,0.3,mode_b_fixed_T_sparse_muB,crossover,T160.0_muB900.0,"T=160.0 MeV, muB=900.0 MeV",T160.0,"T=160.0 MeV",muB900.0,"muB=900.0 MeV",160.0,NaN
160.0,900.0,0.35,mode_b_fixed_T_sparse_muB,crossover,T160.0_muB900.0,"T=160.0 MeV, muB=900.0 MeV",T160.0,"T=160.0 MeV",muB900.0,"muB=900.0 MeV",160.0,NaN
160.0,900.0,0.4,mode_b_fixed_T_sparse_muB,crossover,T160.0_muB900.0,"T=160.0 MeV, muB=900.0 MeV",T160.0,"T=160.0 MeV",muB900.0,"muB=900.0 MeV",160.0,NaN
160.0,900.0,0.45,mode_b_fixed_T_sparse_muB,crossover,T160.0_muB900.0,"T=160.0 MeV, muB=900.0 MeV",T160.0,"T=160.0 MeV",muB900.0,"muB=900.0 MeV",160.0,NaN
160.0,900.0,0.5,mode_b_fixed_T_sparse_muB,crossover,T160.0_muB900.0,"T=160.0 MeV, muB=900.0 MeV",T160.0,"T=160.0 MeV",muB900.0,"muB=900.0 MeV",160.0,NaN
200.0,0.0,-0.5,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB0.0,"T=200.0 MeV, muB=0.0 MeV",T200.0,"T=200.0 MeV",muB0.0,"muB=0.0 MeV",200.0,NaN
200.0,0.0,-0.45,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB0.0,"T=200.0 MeV, muB=0.0 MeV",T200.0,"T=200.0 MeV",muB0.0,"muB=0.0 MeV",200.0,NaN
200.0,0.0,-0.4,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB0.0,"T=200.0 MeV, muB=0.0 MeV",T200.0,"T=200.0 MeV",muB0.0,"muB=0.0 MeV",200.0,NaN
200.0,0.0,-0.35,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB0.0,"T=200.0 MeV, muB=0.0 MeV",T200.0,"T=200.0 MeV",muB0.0,"muB=0.0 MeV",200.0,NaN
200.0,0.0,-0.3,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB0.0,"T=200.0 MeV, muB=0.0 MeV",T200.0,"T=200.0 MeV",muB0.0,"muB=0.0 MeV",200.0,NaN
200.0,0.0,-0.25,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB0.0,"T=200.0 MeV, muB=0.0 MeV",T200.0,"T=200.0 MeV",muB0.0,"muB=0.0 MeV",200.0,NaN
200.0,0.0,-0.2,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB0.0,"T=200.0 MeV, muB=0.0 MeV",T200.0,"T=200.0 MeV",muB0.0,"muB=0.0 MeV",200.0,NaN
200.0,0.0,-0.15,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB0.0,"T=200.0 MeV, muB=0.0 MeV",T200.0,"T=200.0 MeV",muB0.0,"muB=0.0 MeV",200.0,NaN
200.0,0.0,-0.1,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB0.0,"T=200.0 MeV, muB=0.0 MeV",T200.0,"T=200.0 MeV",muB0.0,"muB=0.0 MeV",200.0,NaN
200.0,0.0,-0.05,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB0.0,"T=200.0 MeV, muB=0.0 MeV",T200.0,"T=200.0 MeV",muB0.0,"muB=0.0 MeV",200.0,NaN
200.0,0.0,0.0,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB0.0,"T=200.0 MeV, muB=0.0 MeV",T200.0,"T=200.0 MeV",muB0.0,"muB=0.0 MeV",200.0,NaN
200.0,0.0,0.05,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB0.0,"T=200.0 MeV, muB=0.0 MeV",T200.0,"T=200.0 MeV",muB0.0,"muB=0.0 MeV",200.0,NaN
200.0,0.0,0.1,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB0.0,"T=200.0 MeV, muB=0.0 MeV",T200.0,"T=200.0 MeV",muB0.0,"muB=0.0 MeV",200.0,NaN
200.0,0.0,0.15,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB0.0,"T=200.0 MeV, muB=0.0 MeV",T200.0,"T=200.0 MeV",muB0.0,"muB=0.0 MeV",200.0,NaN
200.0,0.0,0.2,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB0.0,"T=200.0 MeV, muB=0.0 MeV",T200.0,"T=200.0 MeV",muB0.0,"muB=0.0 MeV",200.0,NaN
200.0,0.0,0.25,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB0.0,"T=200.0 MeV, muB=0.0 MeV",T200.0,"T=200.0 MeV",muB0.0,"muB=0.0 MeV",200.0,NaN
200.0,0.0,0.3,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB0.0,"T=200.0 MeV, muB=0.0 MeV",T200.0,"T=200.0 MeV",muB0.0,"muB=0.0 MeV",200.0,NaN
200.0,0.0,0.35,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB0.0,"T=200.0 MeV, muB=0.0 MeV",T200.0,"T=200.0 MeV",muB0.0,"muB=0.0 MeV",200.0,NaN
200.0,0.0,0.4,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB0.0,"T=200.0 MeV, muB=0.0 MeV",T200.0,"T=200.0 MeV",muB0.0,"muB=0.0 MeV",200.0,NaN
200.0,0.0,0.45,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB0.0,"T=200.0 MeV, muB=0.0 MeV",T200.0,"T=200.0 MeV",muB0.0,"muB=0.0 MeV",200.0,NaN
200.0,0.0,0.5,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB0.0,"T=200.0 MeV, muB=0.0 MeV",T200.0,"T=200.0 MeV",muB0.0,"muB=0.0 MeV",200.0,NaN
200.0,450.0,-0.5,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB450.0,"T=200.0 MeV, muB=450.0 MeV",T200.0,"T=200.0 MeV",muB450.0,"muB=450.0 MeV",200.0,NaN
200.0,450.0,-0.45,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB450.0,"T=200.0 MeV, muB=450.0 MeV",T200.0,"T=200.0 MeV",muB450.0,"muB=450.0 MeV",200.0,NaN
200.0,450.0,-0.4,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB450.0,"T=200.0 MeV, muB=450.0 MeV",T200.0,"T=200.0 MeV",muB450.0,"muB=450.0 MeV",200.0,NaN
200.0,450.0,-0.35,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB450.0,"T=200.0 MeV, muB=450.0 MeV",T200.0,"T=200.0 MeV",muB450.0,"muB=450.0 MeV",200.0,NaN
200.0,450.0,-0.3,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB450.0,"T=200.0 MeV, muB=450.0 MeV",T200.0,"T=200.0 MeV",muB450.0,"muB=450.0 MeV",200.0,NaN
200.0,450.0,-0.25,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB450.0,"T=200.0 MeV, muB=450.0 MeV",T200.0,"T=200.0 MeV",muB450.0,"muB=450.0 MeV",200.0,NaN
200.0,450.0,-0.2,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB450.0,"T=200.0 MeV, muB=450.0 MeV",T200.0,"T=200.0 MeV",muB450.0,"muB=450.0 MeV",200.0,NaN
200.0,450.0,-0.15,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB450.0,"T=200.0 MeV, muB=450.0 MeV",T200.0,"T=200.0 MeV",muB450.0,"muB=450.0 MeV",200.0,NaN
200.0,450.0,-0.1,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB450.0,"T=200.0 MeV, muB=450.0 MeV",T200.0,"T=200.0 MeV",muB450.0,"muB=450.0 MeV",200.0,NaN
200.0,450.0,-0.05,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB450.0,"T=200.0 MeV, muB=450.0 MeV",T200.0,"T=200.0 MeV",muB450.0,"muB=450.0 MeV",200.0,NaN
200.0,450.0,0.0,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB450.0,"T=200.0 MeV, muB=450.0 MeV",T200.0,"T=200.0 MeV",muB450.0,"muB=450.0 MeV",200.0,NaN
200.0,450.0,0.05,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB450.0,"T=200.0 MeV, muB=450.0 MeV",T200.0,"T=200.0 MeV",muB450.0,"muB=450.0 MeV",200.0,NaN
200.0,450.0,0.1,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB450.0,"T=200.0 MeV, muB=450.0 MeV",T200.0,"T=200.0 MeV",muB450.0,"muB=450.0 MeV",200.0,NaN
200.0,450.0,0.15,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB450.0,"T=200.0 MeV, muB=450.0 MeV",T200.0,"T=200.0 MeV",muB450.0,"muB=450.0 MeV",200.0,NaN
200.0,450.0,0.2,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB450.0,"T=200.0 MeV, muB=450.0 MeV",T200.0,"T=200.0 MeV",muB450.0,"muB=450.0 MeV",200.0,NaN
200.0,450.0,0.25,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB450.0,"T=200.0 MeV, muB=450.0 MeV",T200.0,"T=200.0 MeV",muB450.0,"muB=450.0 MeV",200.0,NaN
200.0,450.0,0.3,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB450.0,"T=200.0 MeV, muB=450.0 MeV",T200.0,"T=200.0 MeV",muB450.0,"muB=450.0 MeV",200.0,NaN
200.0,450.0,0.35,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB450.0,"T=200.0 MeV, muB=450.0 MeV",T200.0,"T=200.0 MeV",muB450.0,"muB=450.0 MeV",200.0,NaN
200.0,450.0,0.4,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB450.0,"T=200.0 MeV, muB=450.0 MeV",T200.0,"T=200.0 MeV",muB450.0,"muB=450.0 MeV",200.0,NaN
200.0,450.0,0.45,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB450.0,"T=200.0 MeV, muB=450.0 MeV",T200.0,"T=200.0 MeV",muB450.0,"muB=450.0 MeV",200.0,NaN
200.0,450.0,0.5,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB450.0,"T=200.0 MeV, muB=450.0 MeV",T200.0,"T=200.0 MeV",muB450.0,"muB=450.0 MeV",200.0,NaN
200.0,900.0,-0.5,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB900.0,"T=200.0 MeV, muB=900.0 MeV",T200.0,"T=200.0 MeV",muB900.0,"muB=900.0 MeV",200.0,NaN
200.0,900.0,-0.45,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB900.0,"T=200.0 MeV, muB=900.0 MeV",T200.0,"T=200.0 MeV",muB900.0,"muB=900.0 MeV",200.0,NaN
200.0,900.0,-0.4,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB900.0,"T=200.0 MeV, muB=900.0 MeV",T200.0,"T=200.0 MeV",muB900.0,"muB=900.0 MeV",200.0,NaN
200.0,900.0,-0.35,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB900.0,"T=200.0 MeV, muB=900.0 MeV",T200.0,"T=200.0 MeV",muB900.0,"muB=900.0 MeV",200.0,NaN
200.0,900.0,-0.3,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB900.0,"T=200.0 MeV, muB=900.0 MeV",T200.0,"T=200.0 MeV",muB900.0,"muB=900.0 MeV",200.0,NaN
200.0,900.0,-0.25,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB900.0,"T=200.0 MeV, muB=900.0 MeV",T200.0,"T=200.0 MeV",muB900.0,"muB=900.0 MeV",200.0,NaN
200.0,900.0,-0.2,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB900.0,"T=200.0 MeV, muB=900.0 MeV",T200.0,"T=200.0 MeV",muB900.0,"muB=900.0 MeV",200.0,NaN
200.0,900.0,-0.15,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB900.0,"T=200.0 MeV, muB=900.0 MeV",T200.0,"T=200.0 MeV",muB900.0,"muB=900.0 MeV",200.0,NaN
200.0,900.0,-0.1,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB900.0,"T=200.0 MeV, muB=900.0 MeV",T200.0,"T=200.0 MeV",muB900.0,"muB=900.0 MeV",200.0,NaN
200.0,900.0,-0.05,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB900.0,"T=200.0 MeV, muB=900.0 MeV",T200.0,"T=200.0 MeV",muB900.0,"muB=900.0 MeV",200.0,NaN
200.0,900.0,0.0,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB900.0,"T=200.0 MeV, muB=900.0 MeV",T200.0,"T=200.0 MeV",muB900.0,"muB=900.0 MeV",200.0,NaN
200.0,900.0,0.05,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB900.0,"T=200.0 MeV, muB=900.0 MeV",T200.0,"T=200.0 MeV",muB900.0,"muB=900.0 MeV",200.0,NaN
200.0,900.0,0.1,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB900.0,"T=200.0 MeV, muB=900.0 MeV",T200.0,"T=200.0 MeV",muB900.0,"muB=900.0 MeV",200.0,NaN
200.0,900.0,0.15,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB900.0,"T=200.0 MeV, muB=900.0 MeV",T200.0,"T=200.0 MeV",muB900.0,"muB=900.0 MeV",200.0,NaN
200.0,900.0,0.2,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB900.0,"T=200.0 MeV, muB=900.0 MeV",T200.0,"T=200.0 MeV",muB900.0,"muB=900.0 MeV",200.0,NaN
200.0,900.0,0.25,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB900.0,"T=200.0 MeV, muB=900.0 MeV",T200.0,"T=200.0 MeV",muB900.0,"muB=900.0 MeV",200.0,NaN
200.0,900.0,0.3,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB900.0,"T=200.0 MeV, muB=900.0 MeV",T200.0,"T=200.0 MeV",muB900.0,"muB=900.0 MeV",200.0,NaN
200.0,900.0,0.35,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB900.0,"T=200.0 MeV, muB=900.0 MeV",T200.0,"T=200.0 MeV",muB900.0,"muB=900.0 MeV",200.0,NaN
200.0,900.0,0.4,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB900.0,"T=200.0 MeV, muB=900.0 MeV",T200.0,"T=200.0 MeV",muB900.0,"muB=900.0 MeV",200.0,NaN
200.0,900.0,0.45,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB900.0,"T=200.0 MeV, muB=900.0 MeV",T200.0,"T=200.0 MeV",muB900.0,"muB=900.0 MeV",200.0,NaN
200.0,900.0,0.5,mode_b_fixed_T_sparse_muB,crossover,T200.0_muB900.0,"T=200.0 MeV, muB=900.0 MeV",T200.0,"T=200.0 MeV",muB900.0,"muB=900.0 MeV",200.0,NaN
